慈しみ,カスタム名詞,イツクシミ
慈しむ,カスタム名詞,イツクシム
逸楽,カスタム名詞,イツラク
厭う,カスタム名詞,イトウ
愛おしい,カスタム名詞,イトオシイ
愛おしむ,カスタム名詞,イトオシム
愛しい,カスタム名詞,イトシイ
愛しがる,カスタム名詞,イトシガル
愛しさ,カスタム名詞,イトシサ
厭わしい,カスタム名詞,イトワシイ
厭わしさ,カスタム名詞,イトワシサ
畏怖,カスタム名詞,イフ
忌忌しい,カスタム名詞,イマイマシイ
忌忌しがる,カスタム名詞,イマイマシガル
忌まわしい,カスタム名詞,イマワシイ
忌み嫌う,カスタム名詞,イミキラウ
忌む,カスタム名詞,イム
嫌,カスタム名詞,イヤ
厭,カスタム名詞,イヤ
厭厭,カスタム名詞,イヤイヤ
厭がる,カスタム名詞,イヤガル
嫌気,カスタム名詞,イヤケ
卑しい,カスタム名詞,イヤシイ
卑しむ,カスタム名詞,イヤシム
嫌味,カスタム名詞,イヤミ
厭らしい,カスタム名詞,イヤラシイ
苛苛しい,カスタム名詞,イライラシイ
苛苛する,カスタム名詞,イライラスル
苛立たしい,カスタム名詞,イラダタシイ
苛立たしさ,カスタム名詞,イラダタシサ
苛立ち,カスタム名詞,イラダチ
苛立つ,カスタム名詞,イラダツ
苛立てる,カスタム名詞,イラダテル
色を失う,カスタム名詞,イロヲウシナウ
色をなす,カスタム名詞,イロヲナス
陰鬱,カスタム名詞,インウツ
陰気,カスタム名詞,インキ
陰気臭い,カスタム名詞,インキクサイ
陰惨,カスタム名詞,インサン
陰湿,カスタム名詞,インシツ
浮かされる,カスタム名詞,ウカサレル
浮かぬ顔,カスタム名詞,ウカヌカオ
浮かれる,カスタム名詞,ウカレル
浮き足立つ,カスタム名詞,ウキアシタツ
うきうきする,カスタム名詞,ウキウキスル
浮き立つ,カスタム名詞,ウキタツ
憂き目,カスタム名詞,ウキメ
憂さ,カスタム名詞,ウサ
胡散臭い,カスタム名詞,ウサンクサイ
後ろめたい,カスタム名詞,ウシロメタイ
後ろめたさ,カスタム名詞,ウシロメタサ
薄気味悪い,カスタム名詞,ウスキミワルイ
薄汚い,カスタム名詞,ウスギタナイ
うずうず,カスタム名詞,ウズウズ
打ち萎れる,カスタム名詞,ウチシオレル
打ち拉がれる,カスタム名詞,ウチヒシガレル
有頂天,カスタム名詞,ウチョウテン
鬱気,カスタム名詞,ウッキ
鬱屈,カスタム名詞,ウックツ
鬱散,カスタム名詞,ウッサン
鬱積,カスタム名詞,ウッセキ
鬱陶しい,カスタム名詞,ウットウシイ
鬱陶しさ,カスタム名詞,ウットウシサ
うっとり,カスタム名詞,ウットリ
鬱憤,カスタム名詞,ウップン
鬱,カスタム名詞,ウツ
鬱鬱と,カスタム名詞,ウツウツト
俯き,カスタム名詞,ウツムキ
俯く,カスタム名詞,ウツムク
鬱悶,カスタム名詞,ウツモン
虚,カスタム名詞,ウツロ
疎ましい,カスタム名詞,ウトマシイ
疎む,カスタム名詞,ウトム
疎んじる,カスタム名詞,ウトンジル
疎んずる,カスタム名詞,ウトンズル
美味い,カスタム名詞,ウマイ
旨い,カスタム名詞,ウマイ
上手い,カスタム名詞,ウマイ
呻き声,カスタム名詞,ウメキゴエ
呻く,カスタム名詞,ウメク
敬う,カスタム名詞,ウヤマウ
うら悲しい,カスタム名詞,ウラガナシイ
うら淋しい,カスタム名詞,ウラサビシイ
うら寂しい,カスタム名詞,ウラサビシイ
恨み,カスタム名詞,ウラミ
恨みがましい,カスタム名詞,ウラミガマシイ
恨む,カスタム名詞,ウラム
恨めしい,カスタム名詞,ウラメシイ
恨めしがる,カスタム名詞,ウラメシガル
恨めしく思う,カスタム名詞,ウラメシクオモウ
羨ましい,カスタム名詞,ウラヤマシイ
羨ましがる,カスタム名詞,ウラヤマシガル
羨む,カスタム名詞,ウラヤム
五月蝿い,カスタム名詞,ウルサイ
麗しい,カスタム名詞,ウルワシイ
憂い,カスタム名詞,ウレイ
愁い,カスタム名詞,ウレイ
愁え,カスタム名詞,ウレイ
憂える,カスタム名詞,ウレエル
嬉しい,カスタム名詞,ウレシイ
嬉しかった,カスタム名詞,ウレシカッタ
嬉しがらせ,カスタム名詞,ウレシガラセ
嬉しがらせる,カスタム名詞,ウレシガラセル
嬉しがる,カスタム名詞,ウレシガル
嬉しさ,カスタム名詞,ウレシサ
嬉し泣き,カスタム名詞,ウレシナキ
嬉し涙,カスタム名詞,ウレシナミダ
嬉しみ,カスタム名詞,ウレシミ
憂わしい,カスタム名詞,ウレワシイ
狼狽える,カスタム名詞,ウロタエル
上擦る,カスタム名詞,ウワズル
うんざり,カスタム名詞,ウンザリ
詠嘆,カスタム名詞,エイタン
笑顔,カスタム名詞,エガオ
依怙贔屓,カスタム名詞,エコヒイキ
えッ,カスタム名詞,エッ
悦,カスタム名詞,エツ
笑壺に入る,カスタム名詞,エツボニハイル
悦楽,カスタム名詞,エツラク
恵比寿顔,カスタム名詞,エビスガオ
笑み,カスタム名詞,エミ
笑む,カスタム名詞,エム
厭悪,カスタム名詞,エンオ
怨恨,カスタム名詞,エンコン
怨嗟,カスタム名詞,エンサ
怨色,カスタム名詞,エンショク
えーっ,カスタム名詞,エーッ
おいおい,カスタム名詞,オイオイ
美味しい,カスタム名詞,オイシイ
謳歌,カスタム名詞,オウカ
嘔吐,カスタム名詞,オウト
懊悩,カスタム名詞,オウノウ
大恥,カスタム名詞,オウハジ
大喜び,カスタム名詞,オウヨロコビ
嗚咽,カスタム名詞,オエツ
おぉ,カスタム名詞,オォ
おお,カスタム名詞,オオ
男男しい,カスタム名詞,オオシイ
岡惚れ,カスタム名詞,オカボレ
岡焼き,カスタム名詞,オカヤキ
御気に入り,カスタム名詞,オキニイリ
お気に入り,カスタム名詞,オキニハイリ
臆する,カスタム名詞,オクスル
臆病,カスタム名詞,オクビョウ
臆面,カスタム名詞,オクメン
臆面もなく,カスタム名詞,オクメンモナク
怒らせる,カスタム名詞,オコラセル
怒り出す,カスタム名詞,オコリダス
怒り付ける,カスタム名詞,オコリツケル
怒る,カスタム名詞,オコル
惜しい,カスタム名詞,オシイ
惜しがる,カスタム名詞,オシガル
惜し気,カスタム名詞,オシゲ
押し付けがましい,カスタム名詞,オシツケガマシイ
惜しむ,カスタム名詞,オシム
怖気付く,カスタム名詞,オジケツク
汚辱,カスタム名詞,オジョク
恐る恐る,カスタム名詞,オソルオソル
恐れ,カスタム名詞,オソレ
恐れ入る,カスタム名詞,オソレイル
恐れ多い,カスタム名詞,オソレオオイ
恐れる,カスタム名詞,オソレル
恐ろしい,カスタム名詞,オソロシイ
恐ろしがる,カスタム名詞,オソロシガル
恐ろしさ,カスタム名詞,オソロシサ
おぞましい,カスタム名詞,オゾマシイ
落ち着かない,カスタム名詞,オチツカナイ
落ち着き,カスタム名詞,オチツキ
落ち着き払う,カスタム名詞,オチツキハラウ
落ち着く,カスタム名詞,オチツク
落ち着ける,カスタム名詞,オチツケル
おっ,カスタム名詞,オッ
おっかない,カスタム名詞,オッカナイ
躍り上がる,カスタム名詞,オドリアガル
おどろおどろしい,カスタム名詞,オドロオドロシイ
驚かす,カスタム名詞,オドロカス
驚き,カスタム名詞,オドロキ
驚き呆れる,カスタム名詞,オドロキアキレル
驚き入る,カスタム名詞,オドロキイル
驚く,カスタム名詞,オドロク
戦き,カスタム名詞,オノノキ
戦く,カスタム名詞,オノノク
怯え,カスタム名詞,オビエ
怯え切る,カスタム名詞,オビエキル
怯える,カスタム名詞,オビエル
思し召す,カスタム名詞,オボシメス
溺れる,カスタム名詞,オボレル
怖めず臆せず,カスタム名詞,オメズオクセズ
おめでたい,カスタム名詞,オメデタイ
おめでとう,カスタム名詞,オメデトウ
おもいがけない,カスタム名詞,オモイガケナイ
思い屈する,カスタム名詞,オモイクッスル
思い焦がれる,カスタム名詞,オモイコガレル
思い詰める,カスタム名詞,オモイツメル
思い悩む,カスタム名詞,オモイナヤム
思い残す,カスタム名詞,オモイノコス
思いの外,カスタム名詞,オモイノホカ
思い惑う,カスタム名詞,オモイマドウ
思い迷う,カスタム名詞,オモイマヨウ
思いも寄らず,カスタム名詞,オモイモヨラズ
思いも寄らない,カスタム名詞,オモイモヨラナイ
思いも寄らぬ,カスタム名詞,オモイモヨラヌ
思い遣り,カスタム名詞,オモイヤリ
思い遣る,カスタム名詞,オモイヤル
思い煩う,カスタム名詞,オモイワズラウ
重苦しい,カスタム名詞,オモクルシイ
重苦しさ,カスタム名詞,オモクルシサ
面白い,カスタム名詞,オモシロイ
面白かった,カスタム名詞,オモシロカッタ
面白がる,カスタム名詞,オモシロガル
面白くない,カスタム名詞,オモシロクナイ
面憎い,カスタム名詞,オモニクイ
重荷を下ろす,カスタム名詞,オモニヲオロス
面映い,カスタム名詞,オモハユイ
おもろい,カスタム名詞,オモロイ
重んじる,カスタム名詞,オモンジル
親心,カスタム名詞,オヤゴコロ
おろおろ,カスタム名詞,オロオロ
愚か,カスタム名詞,オロカ
おろかしい,カスタム名詞,オロカシイ
愚かしい,カスタム名詞,オロカシイ
恩愛,カスタム名詞,オンアイ
恩寵,カスタム名詞,オンチョウ
怨念,カスタム名詞,オンネン
快感,カスタム名詞,カイカン
怪奇,カスタム名詞,カイキ
懐旧,カスタム名詞,カイキュウ
懐郷,カスタム名詞,カイキョウ
懐古,カスタム名詞,カイコ
悔恨,カスタム名詞,カイコン
悔悟,カスタム名詞,カイゴ
快哉,カスタム名詞,カイサイ
快楽,カスタム名詞,カイラク
顔を赤らめる,カスタム名詞,カオオアカラメル
顔を隠す,カスタム名詞,カオオカクス
顔を曇らせる,カスタム名詞,カオオクモラセル
顔をしかめる,カスタム名詞,カオオシカメル
